AL|416|424
AK|574|574
AZ|526|527
AZ|600|601
AZ|764|765
AR|429|432
AR|676|679
CA|545|573
CA|602|626
CO|521|524
CO|650|653
CT|40|49
DE|221|222
FL|261|267
FL|589|595
FL|766|772
GA|252|260
GA|667|675
HI|575|576
HI|750|751
ID|518|519
IL|318|361
IN|303|317
IA|478|485
KS|509|515
KY|400|407
LA|433|439
LA|659|665
ME|4|7
MD|212|220
MA|10|34
MI|362|386
MN|468|477
MS|425|428
MS|587|588
MS|752|755
MO|486|500
MT|516|517
NE|505|508
NV|530|680
NH|1|3
NJ|135|158
NM|525|585
NM|648|649
NY|50|134
NC|232|232
NC|237|246
NC|681|690
ND|501|502
OH|268|302
OK|440|448
OR|540|544
PA|159|211
RI|35|39
SC|247|251
SC|654|658
SD|503|504
TN|408|415
TN|756|763
TX|449|467
TX|627|645
UT|528|529
UT|646|647
VT|8|9
VA|223|231
VA|691|699
WA|531|539
WV|232|236
WI|387|399
WY|520|520
